class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.8283062645011601,0.8945061520476101,0.8283062645011601,0.6575302968210291,0.8516793397801196,0.19130434782608696,0.7333333333333333,0.30344827586206896,0.4680851063829787,30,0.9404148168692809,0.7542003614040933,0.2537313432835821,0.18329466357308585
0.06,0.8352668213457076,0.8940814367590512,0.8352668213457076,0.6642752046102443,0.856693155505777,0.19811320754716982,0.7,0.3088235294117647,0.4646017699115044,30,0.9404148168692809,0.7600341307047859,0.2537313432835821,0.1751740139211137
0.07,0.8433874709976799,0.8927571108855387,0.8433874709976799,0.6689096935980613,0.8622036877957772,0.20212765957446807,0.6333333333333333,0.3064516129032258,0.44392523364485975,30,0.9404148168692809,0.7697491883895182,0.2537313432835821,0.16473317865429235
0.08,0.8526682134570766,0.8942097334899696,0.8526682134570766,0.6786640249832555,0.869000872445797,0.21428571428571427,0.6,0.3157894736842105,0.4411764705882353,30,0.9404148168692809,0.774187381850879,0.2537313432835821,0.1554524361948956
0.09,0.8607888631090487,0.8964586571662871,0.8607888631090487,0.6909268589450811,0.8749591084275554,0.23376623376623376,0.6,0.3364485981308411,0.4568527918781725,30,0.9404148168692809,0.7796643353600835,0.2537313432835821,0.14733178654292342
0.1,0.8631090487238979,0.8960230469256127,0.8631090487238979,0.6905775533863165,0.8764608033448267,0.2328767123287671,0.5666666666666667,0.3300970873786408,0.4404145077720207,30,0.9404148168692809,0.7797455137702712,0.2537313432835821,0.14501160092807425
0.11,0.8689095127610209,0.8957124710793345,0.8689095127610209,0.6962837711428781,0.8800651750900499,0.24615384615384617,0.5333333333333333,0.3368421052631579,0.43243243243243246,30,0.9404148168692809,0.7864359338061466,0.23880597014925373,0.13805104408352667
0.12,0.8700696055684455,0.8941270674851439,0.8700696055684455,0.694369998404842,0.8802802270601854,0.2459016393442623,0.5,0.32967032967032966,0.4143646408839779,30,0.9404148168692809,0.7899279636786497,0.22388059701492538,0.1357308584686775
0.13,0.8781902552204176,0.8967064842576532,0.8781902552204176,0.7085420751432592,0.886122933083548,0.2777777777777778,0.5,0.35714285714285715,0.43103448275862066,30,0.9404148168692809,0.7962913364737763,0.23880597014925373,0.12761020881670534
0.14,0.8816705336426914,0.897882592426553,0.8816705336426914,0.7150619011656226,0.888640074095041,0.29411764705882354,0.5,0.37037037037037035,0.4385964912280702,30,0.9404148168692809,0.7991220277812081,0.2537313432835821,0.12412993039443156
0.15,0.882830626450116,0.8982869005460286,0.882830626450116,0.7173036373220875,0.8894818965591049,0.3,0.5,0.375,0.4411764705882353,30,0.9404148168692809,0.8000799744081893,0.26865671641791045,0.12296983758700696
0.16,0.8851508120649652,0.8983958364092324,0.8851508120649652,0.723070324749521,0.8908640543740083,0.3191489361702128,0.5,0.38961038961038963,0.4491017964071856,30,0.9404148168692809,0.8064848859926947,0.2835820895522388,0.11948955916473318
0.17,0.8863109048723898,0.8988353338879341,0.8863109048723898,0.7254698862778102,0.8917155840260321,0.32608695652173914,0.5,0.39473684210526316,0.45180722891566266,30,0.9404148168692809,0.8074861532964088,0.29850746268656714,0.11832946635730858
0.18,0.8897911832946636,0.8974328800483452,0.8897911832946636,0.7229298476070842,0.8931378402118949,0.34210526315789475,0.43333333333333335,0.38235294117647056,0.4113924050632911,30,0.9404148168692809,0.8175206348274807,0.2835820895522388,0.11252900232018562
0.19,0.8897911832946636,0.8974328800483452,0.8897911832946636,0.7229298476070842,0.8931378402118949,0.34210526315789475,0.43333333333333335,0.38235294117647056,0.4113924050632911,30,0.9404148168692809,0.8175206348274807,0.2835820895522388,0.11252900232018562
0.2,0.8909512761020881,0.8979534522157954,0.8909512761020881,0.7255097654712483,0.8939968204054924,0.35135135135135137,0.43333333333333335,0.3880597014925373,0.41401273885350315,30,0.9404148168692809,0.8186026936026936,0.29850746268656714,0.11136890951276102
0.21,0.8921113689095128,0.8984905447064192,0.8921113689095128,0.7281449620581525,0.8948595141656842,0.3611111111111111,0.43333333333333335,0.3939393939393939,0.4166666666666667,30,0.9404148168692809,0.8196934674853262,0.29850746268656714,0.11020881670533643
0.22,0.894431554524362,0.8991199485512201,0.894431554524362,0.7352523894862605,0.8963449948499721,0.3939393939393939,0.43333333333333335,0.4126984126984127,0.42483660130718964,30,0.9404148168692809,0.8267062466850309,0.29850746268656714,0.10672853828306264
0.23,0.8932714617169374,0.8975629443840073,0.8932714617169374,0.7262310749759736,0.8949789918773213,0.375,0.4,0.3870967741935484,0.39473684210526316,30,0.9404148168692809,0.824145854360384,0.2835820895522388,0.10788863109048724
0.24,0.894431554524362,0.8981821312765134,0.894431554524362,0.7290140120502117,0.8958504593402472,0.3870967741935484,0.4,0.39344262295081966,0.39735099337748353,30,0.9404148168692809,0.8252818243761914,0.2835820895522388,0.10672853828306264
0.25,0.8932714617169374,0.8965815919323633,0.8932714617169374,0.7196026307341702,0.8944449242654947,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,30,0.9404148168692809,0.8226944212290358,0.2835820895522388,0.10788863109048724
0.26,0.894431554524362,0.8972207957999994,0.894431554524362,0.7223392326331562,0.8953092784171933,0.3793103448275862,0.36666666666666664,0.3728813559322034,0.3691275167785235,30,0.9404148168692809,0.8238337913521411,0.2835820895522388,0.10672853828306264
0.27,0.894431554524362,0.8972207957999994,0.894431554524362,0.7223392326331562,0.8953092784171933,0.3793103448275862,0.36666666666666664,0.3728813559322034,0.3691275167785235,30,0.9404148168692809,0.8238337913521411,0.2835820895522388,0.10672853828306264
0.28,0.8955916473317865,0.8978901073737181,0.8955916473317865,0.7251449784518657,0.8961788599298038,0.39285714285714285,0.36666666666666664,0.3793103448275862,0.37162162162162155,30,0.9404148168692809,0.82498264366461,0.2835820895522388,0.10556844547563805
0.29,0.8955916473317865,0.8975174494071959,0.8955916473317865,0.7268781642611128,0.8959378323387235,0.4074074074074074,0.36666666666666664,0.38596491228070173,0.37414965986394555,30,0.9404148168692809,0.8299206384004911,0.2835820895522388,0.10440835266821345
0.3,0.8967517401392111,0.8982615797481682,0.8967517401392111,0.7298357455082957,0.896821023294087,0.4230769230769231,0.36666666666666664,0.39285714285714285,0.3767123287671233,30,0.9404148168692809,0.8311046729218861,0.2835820895522388,0.10324825986078887
0.31,0.8967517401392111,0.897367146305854,0.8967517401392111,0.7225141246646624,0.8962079509194246,0.4166666666666667,0.3333333333333333,0.37037037037037035,0.3472222222222222,30,0.9404148168692809,0.8296752822908295,0.29850746268656714,0.10324825986078887
0.32,0.8990719257540604,0.8990809071002664,0.8990719257540604,0.7285709655880562,0.8979788242539923,0.45454545454545453,0.3333333333333333,0.38461538461538464,0.352112676056338,30,0.9404148168692809,0.8320816820044334,0.29850746268656714,0.10092807424593968
0.33,0.9002320185614849,0.900030024867329,0.9002320185614849,0.7317357050347021,0.898875589454403,0.47619047619047616,0.3333333333333333,0.39215686274509803,0.35460992907801414,30,0.9404148168692809,0.8333003525940851,0.29850746268656714,0.09976798143851508
0.34,0.9025522041763341,0.9021623569426609,0.9025522041763341,0.7383663799035197,0.9006948078413528,0.5263157894736842,0.3333333333333333,0.40816326530612246,0.35971223021582727,30,0.9404148168692809,0.8357693040472497,0.29850746268656714,0.09744779582366589
0.35,0.9025522041763341,0.9021623569426609,0.9025522041763341,0.7383663799035197,0.9006948078413528,0.5263157894736842,0.3333333333333333,0.40816326530612246,0.35971223021582727,30,0.9404148168692809,0.8357693040472497,0.29850746268656714,0.09744779582366589
0.36,0.9025522041763341,0.9016118559837583,0.9025522041763341,0.7301318624242441,0.8999745535407441,0.5294117647058824,0.3,0.3829787234042553,0.3284671532846715,30,0.9404148168692809,0.8343369634849456,0.2835820895522388,0.09744779582366589
0.37,0.9025522041763341,0.9016118559837583,0.9025522041763341,0.7301318624242441,0.8999745535407441,0.5294117647058824,0.3,0.3829787234042553,0.3284671532846715,30,0.9404148168692809,0.8343369634849456,0.2835820895522388,0.09744779582366589
0.38,0.9037122969837587,0.9029563398405407,0.9037122969837587,0.733548943466424,0.9008897994455854,0.5625,0.3,0.391304347826087,0.3308823529411765,30,0.9404148168692809,0.8355921999016486,0.2835820895522388,0.0962877030162413
0.39,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.4,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.41,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.42,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.43,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.44,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.45,0.9048723897911833,0.9044531365953309,0.9048723897911833,0.7370872059044102,0.901815817316154,0.6,0.3,0.4,0.3333333333333333,30,0.9404148168692809,0.8368584802016305,0.29850746268656714,0.0951276102088167
0.46,0.9037122969837587,0.9026180529773988,0.9037122969837587,0.7244831070258017,0.9000796990248291,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.29850746268656714,30,0.9404148168692809,0.834139307588522,0.29850746268656714,0.0962877030162413
0.47,0.9037122969837587,0.9026180529773988,0.9037122969837587,0.7244831070258017,0.9000796990248291,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.29850746268656714,30,0.9404148168692809,0.834139307588522,0.29850746268656714,0.0962877030162413
0.48,0.9037122969837587,0.9026180529773988,0.9037122969837587,0.7244831070258017,0.9000796990248291,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.29850746268656714,30,0.9404148168692809,0.834139307588522,0.29850746268656714,0.0962877030162413
0.49,0.9037122969837587,0.9026180529773988,0.9037122969837587,0.7244831070258017,0.9000796990248291,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.29850746268656714,30,0.9404148168692809,0.834139307588522,0.29850746268656714,0.0962877030162413
0.5,0.9037122969837587,0.9026180529773988,0.9037122969837587,0.7244831070258017,0.9000796990248291,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.29850746268656714,30,0.9404148168692809,0.834139307588522,0.29850746268656714,0.0962877030162413
